"1","FAC/DEVIS _ ASP_Réinstallation ","","","","","","","","","","",""," # Projet"," Noms"," Adresse","Ville","Date","Heures","Contact sur place","Code Postal","Commentaires - Printemps 2026","Commentaires - Printemps 2025","Commentaires - Automne 2024","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","","","","","","","","","","Courriel","","Commentaires - Automne  2024","Détail des tapis","","","","","","","","","","","","",""
"Édifice","","FALSE","","TRUE","TRUE","","TRUE","TRUE","FALSE","","  1 004 ","","1213-ET","Centre d'intégration Scolaire","8844, rue Notre-Dame Est","Montréal","En mai ","A venir ","","H1L 3M4","","Personne responsable sur place ou code d'accès : Sylvain Langlois 514-961-2176
Avons-nous accès à un stationnement oui","","","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","ychouinard@cisi.qc.ca","","pas fait car personne sur place","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","FALSE","FALSE","","  240 ","","1367-ET","École Lucien-Guilbault","7695, avenue Papineau","Montreal","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","d.laflamme@lucien-guilbault.ca","","","","","","","","","","","","","","","",""
"Bureau","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  728 ","","1353-ET","Clnique Dr. Lacoste","3333, 100e Avenue, 3e étage","Laval","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","gestionnaire.clinique@gmail.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  262 ","","1352-ET","Edifice 3333 100e Avenue","3333, 100e Avenue, RDC","Laval","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","gestionnaire.clinique@gmail.com","","","","","","","","","","","","","","","",""
"","","","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  426 ","","1365-ET","Edelman","4446, boul. St-Laurent, suite 501","Montréal","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","Sylvie.Mota@edelman.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","34","  1 263 ","","1233-ET","Sunwing","3105, Place Louis R-Renaud","Laval","En mai ","A venir ","","H7V 0A3","","","","Ajout entrée arrière 360,8 + 903","Manque 4 tapis  = fait","","FALSE","","","8","","","TRUE","TRUE","FALSE","juliench06@gmail.com","","ajout déc 2023 - entrée arrière 360pc (360+903)","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  849 ","","1232-ET","Vacances Sunwing","3105, Place Louis R-Renaud","Laval","En mai ","A venir ","","H7V 0A3","","","","","","","FALSE","","","8","","","TRUE","TRUE","FALSE","juliench06@gmail.com","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 325 ","","1061-ET","6000 Deacon","6000, ch. Deacon","Outremont","En mai ","A venir ","","H3S 2T9","","","","","Manque moulure ascenseur x 7","","","","","","","","TRUE","TRUE","FALSE","info@6000deacon.ca","","L’ascenseur I-J-K n’a pas pu être installé à cause qu’il était hors service.","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  2 597 ","","1201-ET","Usine Atwater","999, rue Dupuis","Verdun","En mai ","A venir ","","H4G 3L4","","Remplir le formulaire demande d'autorisation d'accès du Site - OBLIGATOIRE","","","Manque tapis porte 28 #1 (long tapis de vinyle 50 pieds )","À FAIRE ENTRE LE 17 ET 28 AVRIL","FALSE","","2","4","","","TRUE","TRUE","FALSE","patrick.vallee@montreal.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  891 ","","1181-ET","Ville de Montréal","3705, rue Saint-Patrick","Montréal","En mai ","A venir ","","H4E 1A1","","Remplir le formulaire demande d'autorisation d'accès du Site - OBLIGATOIRE","","","","À FAIRE ENTRE LE 17 ET 28 AVRIL","FALSE","","2","2","","","TRUE","TRUE","FALSE","patrick.vallee@montreal.ca","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","FALSE","FALSE","TRUE","","TRUE","TRUE","FALSE","165","  1 246 ","","1310-ET","Résidence du marché","25, rue du Marché","Ste-Thérèse","En mai ","A venir ","","J7E 5T2","","contacter Louis Philippe ou Yvon : 450-433-6544","","","","","FALSE","","2","3","","","TRUE","TRUE","FALSE","cse@lesresidencesdumarche.com","","1080pc pas bon - neuf feuille de po 1246 pc","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","78","  858 ","","1327-ET","CCRL Laurentides","325, rue du Docteur-Charles-Léonard","St-Jérôme","En mai ","A venir ","","","NE PAS OUBLIER LES AJOUTS DE L'AUTOMME AU 2e ET 3e ÉTAGES","Marie-Gabrielle Beaudry : 514-293-9923 : Stationnement payant sur place","","","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","mgbeaudry@ccrlaurentides.com;mcroizer@ccrlaurentides.com","","manque un tapis à installer au deuxième étage","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","92","  558 ","","1186-ET","Bella Vista Phase I","3625, rue Jean-Gascon","Saint-Laurent","En mai ","A venir ","","H4R 0K6","","1ere semaine d'avril au 12 avril ","","Commencer par le 3625","","","FALSE","","1","1","","","TRUE","TRUE","FALSE","bellavista3625@in.upperbee.com","","COMMENCER PAR CETTE ADRESSE, il y aura un tapis à couper lors de la réinstallation","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","36","  1 260 ","","1362-ET","Cloria Beloeil","400, rue Serge Pépin","Beloeil","En mai ","A venir ","","","","C'est parfait pour le 13 à 13h00, louis sera sur place pour vous accueillir, 438-498-7024, vous pourrez aussi au besoin, communiquez avec Philippe au 514-250-5456. _ PS SVP ne pas retiré le tapis du hall d'entré,(entre les deux portes) nous tenons à le conservé, vous pourrez discuté des formalités avec Philippe.","","","","","","","","","","","TRUE","TRUE","FALSE","normandstdenis@cloriacite.ca","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 154 ","","1209-ET","Résidence Vast (tapis pluie?)","300, rue de Murano","Sainte-Julie","En mai ","A venir ","","J3E 0C6","","1ere semaine d'avril","","120PC tapis pluie logo - Inclus dans le service depuis +sieurs années svp penser à facturer pour les années suivantes","","A FAIRE LE PLUS RAPIDEMENT POSSIBLE","FALSE","","2","2","","","TRUE","TRUE","FALSE","cse@residencevast.com","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","50","  760 ","","1314-ET","Cloria cité","3475, Montée Gagnon","Terrebonne","En mai ","A venir ","","","","","","AJOUT POUR LE SERVICE D'ENTRETIEN ","","","","FALSE","","","","","TRUE","TRUE","TRUE","nancycanuel@cloriacite.ca","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  367 ","","1329-ET","UV Quartier Villeray","682, rue Jarry Est","Montréal","En mai ","A venir ","","","","","","","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","olivier.parenteau@uvee.ca","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","75","  695 ","","1369-ET","CMCL (clinique médico-chirurgicale des Laurentides","305, rue Docteur Charles-Léonard #204","St-Jérôme","En mai ","A venir ","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","mgbeaudry@ccrlaurentides.com;mcroizer@ccrlaurentides.com","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","24","  262 ","","1322-ET","Ortho-Laval - Dr. Emmanuel Suissa","1575, boul. de l'Avenir, 3e étage","Laval","En mai ","A venir ","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","TRUE","clinique@ortholaval.com","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 628 ","","1184-ET","Le Savignon","3111, rue Victoria","Lachine","En mai ","A venir ","","H8S 0B1","","","","","5 oct 23 : Seul les sorties d'urgence ont pu être installés car le plancher était plein de savon et il y a avait un évènement à la réception. Tapis laissés au garage intérieur _ Prévoir moulures il en manque beaucoup _ Manque tapis ascenseur 1,3,5 _ Tapis #11 (devant les ascenseur) non installés car la directrice générale à vu une grosse tache ronde, je lui ai montré que c'est de l'usure.","Philippe Croteau 514-634-4646","FALSE","","","","","","TRUE","TRUE","FALSE","cse@lesavignon.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","350","","5877","1308-ET","Manuvie","900, boul de Maisonneuve O","Montréal","4 avril","8h-17h","","","","Il a planifié l'entretien ménager ","","","","","FALSE","FALSE","","","FALSE","FALSE","FALSE","TRUE","FALSE","sylvain.cote@jll.com","","J’ai utiliser 5pied de moulure après la première réparation je me suis servie du morceau que j’ai couper pour réparer les autre et il manquait une moulure devans l’asc h que j’ai rajouterJan : ****Manque ascenseur E . Selon Alex tapis pas à l'entrepôt . Est-ce que lorsque l'installation initial l'ascenseur était hors d'usage donc jamais été installé à neuf ? ****J’ai utiliser 5pied de moulure après la première réparation je me suis servie du morceau que j’ai couper pour réparer les autre et il manquait une moulure devans l’asc h que j’ai rajouter","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 036 ","","1304-ET","Clinique Quatuor MD - 27e étage","800 rue du Square Victoria","Montréal","10 avril","12h-14h","","","","Furna à la réception","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","paiement@quatuormd.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 847 ","","1175-ET","Allied - Atlantic","400, rue Atlantic","Outremont","15 avril","16h-18h","","H2V 1A5","Edifice vendu, ils vont prendre le service d'entretien","Personne responsable sur place ou code d'accès   INTERCOM :  la touche no 2---- Luis Tampan 514-206.7118
Avons-nous accès à un stationnement  non",""," Tapis à jeter "," Tapis du café laissés sur place, il n'y a plus de restaurant. "," 918 ou 1601 ","FALSE","","2","1","","","TRUE","FALSE","FALSE","lbeaulieu@alliedreit.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","TRUE","TRUE","","FALSE","FALSE","FALSE","","  1 031 ","","1183-ET","Gare Windsor - Etages (Niveau 1-3-4-5-9)","1100, ave Des canadiens ","Montreal ","16 avril","14h-16h","SERVICE D'ENTRETIEN POUR LES ÉTAGES","","","ENLÈVEMENT ET DISPOSITION DU TAPIS RDC SEULEMENT (installation neuve à l'automne)","","","bureaux du 3ieme et 4ieme  de la gare Windsor nous n'avons pas pu les installer,  aucun agent de sécurité disponible pour nous   Manque ascenseur #4. Petit très usé  - Devant les portes du lobby du 1160 Avenue-des-canadiens-de-Montréal / les poches d'air empêchent les portes d'ouvrir et accroche, ce qui fait que le tapis ne va pas durer longtemps / dans la cabine d'ascenseur no.6, le tapis n'a pas été installé - 900 peel manque tapis #2 / Complété sauf intérieur bureau 910 peel 3ieme et 4ieme étage,  pas de gardien disponible.  ","(4510pc réinstallation) CRÉDIT NC-10 - 85pc de moins niveau 1 jamais installé  910 peel ASCENSEUR 6 Hors d'usage,  pas pu retirer le tapis","FALSE","","2","6","","","FALSE","TRUE","FALSE","claudiu.avram@cadillacfairview.com","","13 nov : 900 Peel, pointe du tapis décollé / 910 Peel, pointe de tapis décollé et tapis mal installé et trop long / 1100 av. des Canadiens, ascenseurs 2,3 n'ont pas de tapis. / 1160 av. des Canadiens, tapis mal installé et trop long et il manque un tapis. / Les ascenseurs 5,6,7 manquent les tapis. / niveau 3 suite 300 manque le tapis. / Niveau 4 suite 400 manque le tapis. / Niveau 4 suite 450 manque le tapis. / Niveau 5 manque le tapis. / Niveau 9 suite 900 manque le tapis.  -- ascenseur #8 1100 des canadiens hors d'usage, pas installé. Tapis #8 1160 des Canadiens","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","FALSE","FALSE","FALSE","","  2 675 ","","1251-ET","Tour Deloitte ÉTAGES 5-6-7-8-9-10 et 11","1190, ave des canadiens-de-Montréal","Montréal","17 avril","18h-21h","","","JETEZ LES TAPIS, il y aura une nouvelle installation à l'automne","","","","","","","","","","","","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","16","  895 ","","1243-ET","Allied Properties","755, rue Berri","Montréal","22 avril","12h-13h","","H2Y 3Y7","","il faut rajouter le 268pc à l’adresse du 755 Berri  (nouvelle quantité 895pc)","","","","","FALSE","","","5","","","TRUE","FALSE","FALSE","dbai@alliedreit.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 246 ","","1317-ET","Allied - 700 rue St-Hubert","700, rue St-Hubert","Montréal","22 avril","13h-14h30","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","dbai@alliedreit.com","","pas pu installer le 2ieme étage (pas de contact, pas d'accès sans puce ni par les escaliers) Tapis à l'entrepôt.","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","15","  1 023 ","","1357-ET","Maestria Tour B","1210, rue Jeanne-Mance, Montréal","Montréal","23 avril","12h-13h","","À la demande du gestionnaire, le tapis asc9 va être installé dans ascenseur10","","Au 1210, vous pouvez vous stationner en face s’il y a de la place ou au débarcadère à l’arrière. Juste demandé au portier de vous guider.","","","","","","","","","","","TRUE","FALSE","FALSE","antoine.portelance@solutioncondo.com","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","50","  1 403 ","","1356-ET","Maestria Tour A","1245, rue Bleury, Montréal","Montréal","23 avril","13h-15h","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","antoine.portelance@solutioncondo.com","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","50","  852 ","","1346-ET","Le Gatsby","1200, rue Drummond","Montréal","23 avril","12h-13h","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","catherine.goulet@solutioncondo.com;francesca.vanspall@solutioncondo.com","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","  1 981 ","","1068-ET","Banque de Montréal","129, St-Jacques O","Montréal","24 avril","15h-22h","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","Vincent.Blais@bgis.com;Julie.Lachapelle@bgis.com","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","","  2 126 ","","1070-ET","BMO ","119, St- Jacques O","Montréal","24 avril","15h-22h","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","Vincent.Blais@bgis.com;Julie.Lachapelle@bgis.com","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","  860 ","","1069-ET","Édifice 105 St-Jacques O","105, St-Jacques O","Montréal","24 avril","15h-22h","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","Vincent.Blais@bgis.com;Julie.Lachapelle@bgis.com","","","","","","","","","","","","","","","",""
"","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","  2 019 ","","1372-ET","Google","425, Viger O, 8-9-10-11-12-13e étages","Montréal","26 avril","10h-22h","","","DOIT CHANGER LEUR TAPIS, J'ATTENDS UNE RÉPONSE","","","","","","","","","","","","FALSE","FALSE","FALSE","fournierg@xwf.google.com","","","2019pc","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","35","  4 469 ","","1313-ET","Le Nordelec","1751, rue Richardson","Montréal","30 avril","17h-22h","","","","***NE PAS ENLEVER LES TAPIS D'ASCENSEURS A-B ET F-G","","TOUTES LES TAPIS D'HIVER SUR PLACE","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","dmartos@alliedreit.com","","pas pu vérifier ascenseur D car hors service","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  2 095 ","","0812-ET","Le Sanctuaire,  phase 4","6111, du Boisé","Outremont","","","","H3S 1P1","","","","","","stationnement pour les entrepreneurs/visiteurs : Aimerait à la mi-avril soit un mercredi ou un jeudi.","FALSE","","2","3","","","TRUE","FALSE","FALSE","6111duboise@hotmail.ca","","18 oct Jan : J'ai nettoyé 3 petites taches évidentes avec du liquagel..l'état du reste des tapis ""acceptables "" mise à part quelques gommes . ","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","100","  4 626 ","","1306-ET","SDC 6150 du Boisé","6150, ave du Boisé","Outremont","","","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","TRUE","6150duboise@bellnet.ca","","FACTURE 4626pc +100pl moulures     même si 4410pc","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","TRUE","","  2 689 ","","1355-ET"," Centre culturel NDG","6400, ave Monkland","Montréal","","","","","","A FAIRE","","","","","","","","","","","TRUE","FALSE","FALSE","irinel-maria.stingaciu@montreal.ca","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","70","  1 587 ","","1366-ET","Pôle Ste-Catherine","6080, Place des Cageux, Sainte-Catherine (rue Léo)","","","","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","PatrickGuilbault@cloriacite.ca","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  957 ","","1333-ET +1332-ET","West Spa (+pas mettre sur facture Salon Augustin - ) - Salon Augustin","4655, Boul St-Jean, suite 202","Montréal","","","","","","","","A FAIRE   ADRESSE COURRIEL À VÉRIFIER","","","FALSE","","2","2","","","TRUE","FALSE","FALSE","nemco@bell.net","","L’ascenseur n’a pas pu être installé étant donné qu’il était hors service.","","","","","","","","","","","","","",""
"Condo","","FALSE","FALSE","FALSE","TRUE","","TRUE","TRUE","FALSE","","  460 ","","1290-ET","Coop Montagne verte ","1285, St-Jacques","Montreal","","","","","","","","Ils ont oublié ceux du Sous-sol a la sortie des ascenseurs près du garage","","","","","","","","","TRUE","TRUE","TRUE","entretien@coopmontagneverte.com","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 439 ","","1196-ET","SDC La chancellerie du Vieux-Montréal","460, rue du Champ de Mars","Montréal","","","","H2Y 1B4","N'ont pas été installés à l'automne 2025","","","","","Code de la boîte à clés 2140 autre boite 5286","FALSE","","2","4","","","FALSE","FALSE","FALSE","gnuckle@lecsor.com","","1025 code du lock box fournisseur","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  446 ","","1288-ET","CHSLD Val des Brises","3155, boul. Michel-Ange","Laval","","","","H7E 0J1","","","","","","","","","","","","","TRUE","TRUE","FALSE","mclavoie@alcovicapital.com","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  528 ","","0968-ET","Clinique Chirurgicale de Laval","4650, desserte S, Autoroute 440","Laval","","","","H7T 2Z8","","","","Tapis arrière n'a pas été enlevé car trop de choses dessus","Surcharge de 25$ par client pour changement d'horaire fait le même jour","Tapis déjà lavé et roulé, seulement les entreposer.","FALSE","","1","1","","","TRUE","FALSE","FALSE","daniele.lanthier@cmslaval.com","","","","","","","","","","","","","","","",""
"Bureau","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  196 ","","1354-ET","Clinique Dr. Barolet","3333, 100e Avenue, 2e étage","Laval","","","","","","TRES TÔT LE MATIN OU LE VENDREDI EN APRÈS-MIDI","","","","","","","","","","","TRUE","FALSE","FALSE","comptes@clinique-barolet.com","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","10","  318 ","","1368-ET","CEOM","4670, desserte Sud 440, local 110","Laval","","","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","daniele.lanthier@cmslaval.com","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 014 ","","1279-ET","Académie Lavalloise","5290, boul. des Laurentides","Laval","","","","H7K 2J8","","La personne responsable sera Mme Patrizia à la réception.","","","J'ai dû couper des tapis car les portes ne fermaient plus et aux extrémités car les tapis ont rallongés","","","","","","","","TRUE","FALSE","FALSE","anthony.lacopo@academielavalloise.com","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  400 ","","1238-ET","Cours Centrale Phase 2","2910, Edouard Montpetit","Laval","","","","H7T 2T5","","2 grosses taches sur les tapis, 1 dans l'entrée et l'autre dans le garage","","","","M. Jad Mammo membre du syndicat va être sur place. Il pourra vous donner accès à l’immeuble son numéro +1 (514) 632-6450 
Oui vous avez accès au stationnement extérieur devant l’immeuble.
alain Maksoud 514-865-4897  Condo 601","FALSE","","","4","","","TRUE","TRUE","FALSE","sslax@hotmail.com","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 520 ","","0960-ET","Résidence Station Est","4800, rue Contrecoeur, Montréal","Montréal","","","","","","","","","","","FALSE","","2","3","","","TRUE","TRUE","FALSE","cse@residencestationest.com","","**il manquait des moulures, 1 boîte neuve utilisée ***","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  720 ","","0964-ET","Centre de médecine sportive","4650, desserte S, Autoroute 440","Laval","","","","H7T 2Z8","","","","","","Entreposage seulement","FALSE","","2","2","","","TRUE","FALSE","FALSE","daniele.lanthier@cmslaval.com","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  658 ","","1231-ET","Le Maritime","3040, boul. Lévesque Ouest","Laval","","","","H7V 2G3","","Sylvain Laliberté 514-979-9208","","","","Nathalie Mora 514-984-6206","FALSE","","","","","","TRUE","FALSE","FALSE","maritime1@videotron.ca","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","65","  962 ","","1234-ET","SDC du Boisé de la Colline","24, rue Bates","Outremont","","","","H2V 1A8","","Choucri Craissati 514-236-5515: stationnement OUI","","This is not good service.","surcharge 3 h installation (comme neuf) Installation presque neuf le gars il a modifié toute l’entrée et la mezzanine (toutes les tapis j’ai les modifier avec les changements ça me pris 6.30h seul )   COUPER DES TAPIS SUITE AUX RÉNOVATIONS (DOMINIC)","Nous allons rénover notre Hall d’entrée à partir du 13 mars 2023. Est-ce que vous pouvez venir au plus tard le 10 mars pour retirer les tapis et les entreposer ?","FALSE","","","10","","","TRUE","FALSE","FALSE","conseilbdc@gmail.com","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","257","  1 941 ","","1297-ET","Les verrières du Golf","2400, rue des Nations, Saint-Laurent","Montréal","","","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","cse@lesverrieresdugolf.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","FALSE","TRUE","FALSE","","  669 ","","1245-ET","Héma-Québec","16 993 Transcanadienne ","Kirkland","","","","H4R 2W7","","","","","","","FALSE","","","7","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","96","  642 ","","1185-ET","Bella Vista Phase II","3655, rue Jean Gascon","Saint-Laurent","","","","H4R 0K6","","1ere semaine d'avril au 12 avril ","","","","","FALSE","","1","2","","","TRUE","FALSE","FALSE","jp@bv3655.ca","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","43","  265 ","","0786-ET","Clinique Uniderma","1575, boul. de l'Avenir","Laval","","","","H7S 2N5","","450 629-3375 sera sur place à partir de 7h","","***COMMENCER PAR LA CLINIQUE EN PREMIER LE 7 MAI***","","","FALSE","","1","1","","","TRUE","FALSE","FALSE","drejodoin@uniderma.ca","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 597 ","","1350-ET","Orchard House","4176, boulevard Grand Montréal","Montréal","","","","","Ajouter le sous-sol","","","","","","","","","","","","TRUE","FALSE","FALSE","yasmine@orchard-house.ca","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","FALSE","FALSE","FALSE","121","  1 836 ","","1324-ET","Quartier Mont Saint-Hilaire","330, Honorious-Charbonneau","St-Hilaire","","","","","ENTREPOSER LES TAPIS CHEZ LE CLIENT","Prendre une photo du tapis qui gondole dans le corridor qui mêne aux bureaux administratifs","","Ascenseur 3 pas enlevé travaux en cours","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","dg@lequartiermontsainthilaire.com","","tapis 9, 10 , 11 et asc2 installés suite aux rénovations d'automne. Asc1 pas installé car toujours pas réparé depuis septembre. Les tapis et moulures étaient entreposés sur place, les moulures n'étaient plus là (moulures brunes) . Tapis asc1 laissé sur place pour que le concierge installe lui-même (dans local à déchets au ss)","","","","","","","","","","","","","",""
"Résidence","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","23","  879 ","","1195-ET","Cloria Vallée du Richelieu","4305, chemin du Crépuscule","Beloeil","","","","J3G 0R2","","","","","Bonjour, je suis la personne ressource pour Cloria Vallée du Richelieu _ Normand St-Denis, vous pouvez aussi inscrire Mr. Philippe Turcotte 514-250-5456 au philippeturcotte@cloriacite.ca ,","787+92  -  louraymond@cloriacite.ca","FALSE","","2","2","","","TRUE","FALSE","FALSE","normandstdenis@cloriacite.ca","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","50","  600 ","","0969-ET","Les Pignons sur le Fleuve","8065, rue St-Laurent","Brossard","","","","J4X 2A1","","","","","","Nos tapis d'hiver ont été enlevés aujourd'hui. Ils seront à remplacer à l'automne 2023 sauf celui de l'ascenseur qui est plus récent.    Le camion pourra se stationner devant la porte centrale le long du trottoir.","FALSE","","2","1","","","TRUE","FALSE","FALSE","administration2@immoplex.com","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","16","  190 ","","1268-ET","Héma-Québec","7, place du Commerce","Brossard","","","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","75","  387 ","","1267-ET","Globule DIX30","1520, ave des Lumières local 15,","Brossard","","","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","","","","","","","","","",""
