"dd","FAC/DEVIS _ ASP_Réinstallation ","Réinstallation","FAC/DEVIS _ ASP_retrait","Rebut","Retrait","FAC/DEVIS _ ASP_nett+entreposage","entreposage","Nettoyer entrepôt"," TAPE VERT "," Moulures "," PC "," Carreaux "," # Projet"," Noms"," Adresse","Ville","BLEU : JOUR   GRIS : SOIR        DATE Réinstallation","Heures","Contact sur place","Code Postal","Commentaires - Automne 2025","Commentaires - Printemps 2025","Commentaires - Automne 2024","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","Pickup fait","pickup/ref","Nbr gars","H/ins ","moulure "," Moulure à changer ","Courriel envoyé","Confirmation","Confirmation des dates de RDV","Courriel","","Commentaires - Automne  2024","Détail des tapis","Fact #","Nettoyer","Payer ","Sola Facture ","Ajustement à faire","Date prévue","Fait","","","","","","","","","","","",""
"Édifice","3279","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  669 ","","1245-ET","Héma-Québec","16 993 Transcanadienne ","Kirkland","17 octobre","12h-17h","","H4R 2W7","Manque tous les tapis sauf le #1","","","","","","FALSE","","","7","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3279","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  584 ","","0909-ET","SFM","325, boul. Bouchard","Dorval","17 octobre","12h-17h","","H9S 1A9"," Manque tapis # 7 à #10 (vinyles)","Changement de dates , prevu le 18 avril mais fermé pour paques ","","","Manque tapis de garde robe #9 et #10 ","Je suis la personne responsable sur place, mais la réceptionniste (Tina Limosani) sera en mesure de répondre à vos question s’il y a lieu. Une carte d’accès n’est pas requise, la réceptionniste vous laissera entrer.","FALSE","","2","2","","","TRUE","FALSE","TRUE","steve.colpron@sfm.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3279","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","92","  558 ","","1186-ET","Bella Vista Phase I","3625, rue Jean-Gascon","Saint-Laurent","15 octobre","7h-12h","","H4R 0K6","manque tapis 7","1ere semaine d'avril au 12 avril ","","Commencer par le 3625","","","FALSE","","1","1","","","TRUE","TRUE","TRUE","bellavista3625@in.upperbee.com","","COMMENCER PAR CETTE ADRESSE, il y aura un tapis à couper lors de la réinstallation","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3279","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","96","  642 ","","1185-ET","Bella Vista Phase II","3655, rue Jean Gascon","Saint-Laurent","15 octobre","7h-12h","","H4R 0K6","manque tapis 3","1ere semaine d'avril au 12 avril ","","","","","FALSE","","1","2","","","TRUE","FALSE","TRUE","jp@bv3655.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3279","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","43","  265 ","","0786-ET","Clinique Uniderma","1575, boul. de l'Avenir","Laval","8 octobre","7h-12h","","H7S 2N5","tapis 1-3 suite 100 ","450 629-3375 sera sur place à partir de 7h","","***COMMENCER PAR LA CLINIQUE EN PREMIER LE 7 MAI***","","","FALSE","","1","1","","","TRUE","FALSE","TRUE","drejodoin@uniderma.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidences","3279","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  1 385 ","","1229-ET","Le Boréa","61 54e avenue Est","Blainville","6 octobre","7h-12h","","","manque tapis 3  2 ascenseurs ont été oubliées.","","","","Manque tapis ascenseur - Fait","André Laplante 450-508-8073","FALSE","","","","","","TRUE","FALSE","TRUE","cse@residenceborea.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3279","TRUE","3132","TRUE","TRUE","3192","TRUE","TRUE","FALSE","","  1 004 ","","1213-ET","Centre d'intégration Scolaire","8844, rue Notre-Dame Est","Montréal","10 octobre","7h-12h","","H1L 3M4","Manque tapis #4,5 et 7","Personne responsable sur place ou code d'accès : Sylvain Langlois 514-961-2176
Avons-nous accès à un stationnement oui","","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","ychouinard@cisi.qc.ca","","pas fait car personne sur place","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3279","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  2 689 ","","1355-ET"," Centre culturel NDG","6400 ave Monkland","Montréal","21 octobre","9h-12h","","","","A FAIRE","","","","","","","","","","","TRUE","FALSE","TRUE","irinel-maria.stingaciu@montreal.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice médical","3279","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  1 597 ","","1350-ET","Orchard House","4176, boulevard Grand Montréal","Montréal","21 octobre","12h-17h","","","**Ajout de tapis dans sous-sol voir nouvelle installation ** ","","","","","","","","","","","","TRUE","FALSE","TRUE","yasmine@orchard-house.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Résidences","3279","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","121","  1 836 ","","1324-ET","Quartier Mont Saint-Hilaire","330, Honorious-Charbonneau","St-Hilaire","22 octobre","7h-12h","","","***tapis , 7, 8 et 8A laissés sur place sans installer à la demande du directeur Dominic car tapis sur tapis décolle toujours ****","Prendre une photo du tapis qui gondole dans le corridor qui mêne aux bureaux administratifs","","Ascenseur 3 pas enlevé travaux en cours","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","dg@lequartiermontsainthilaire.com","","tapis 9, 10 , 11 et asc2 installés suite aux rénovations d'automne. Asc1 pas installé car toujours pas réparé depuis septembre. Les tapis et moulures étaient entreposés sur place, les moulures n'étaient plus là (moulures brunes) . Tapis asc1 laissé sur place pour que le concierge installe lui-même (dans local à déchets au ss)","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidence","3279","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","23","  879 ","","1195-ET","Cloria Vallée du Richelieu","4305, chemin du Crépuscule","Beloeil","22 octobre","12h-17h","","J3G 0R2","","","","","Bonjour, je suis la personne ressource pour Cloria Vallée du Richelieu _ Normand St-Denis, vous pouvez aussi inscrire Mr. Philippe Turcotte 514-250-5456 au philippeturcotte@cloriacite.ca ,","787+92  -  louraymond@cloriacite.ca","FALSE","","2","2","","","TRUE","FALSE","FALSE","normandstdenis@cloriacite.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidences","3279","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","36","  1 260 ","","1362-ET","Cloria Beloeil","400, rue Serge Pépin"," Beloeil","22 octobre","7h-12h","","","","C'est parfait pour le 13 à 13h00, louis sera sur place pour vous accueillir, 438-498-7024, vous pourrez aussi au besoin, communiquez avec Philippe au 514-250-5456. _ PS SVP ne pas retiré le tapis du hall d'entré,(entre les deux portes) nous tenons à le conservé, vous pourrez discuté des formalités avec Philippe.","","","","","","","","","","","TRUE","FALSE","TRUE","normandstdenis@cloriacite.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Résidences","3279","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  1 154 ","","1209-ET","Résidence Vast (tapis pluie?)","300, rue de Murano","Sainte-Julie","22 octobre","12h-17h","","J3E 0C6","","1ere semaine d'avril","","120PC tapis pluie logo - Inclus dans le service depuis +sieurs années svp penser à facturer pour les années suivantes","","A FAIRE LE PLUS RAPIDEMENT POSSIBLE","FALSE","","2","2","","","TRUE","FALSE","TRUE","cse@residencevast.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3279","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","50","  600 ","","0969-ET","Les Pignons sur le Fleuve","8065, rue St-Laurent","Brossard","23 octobre","7h-12h","","J4X 2A1","","","","","","Nos tapis d'hiver ont été enlevés aujourd'hui. Ils seront à remplacer à l'automne 2023 sauf celui de l'ascenseur qui est plus récent.    Le camion pourra se stationner devant la porte centrale le long du trottoir.","FALSE","","2","1","","","TRUE","FALSE","TRUE","administration2@immoplex.com;yvanjulien@sympatico.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3279","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","57","  1 077 ","","1239-ET","CHSLD Dr. Chevrier","700, rue Docteur Chevrier","Saint-Lambert","23 octobre","12h-17h","","","","À la demande du nouveau responsable Bruno forget, les tapis escaliers A et B laissés sur place et ne feront plus partie du contrat. Total 60 pieds carré en moins","","","","Si vous venez tôt plus facile de trouver un stationnement.","FALSE","","","","","","TRUE","FALSE","TRUE","maintenancechsldstlambert@ls4.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","3279","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","FALSE","16","  190 ","","1268-ET","Héma-Québec","7, place du Commerce"," Brossard","23 octobre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","3279","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","FALSE","75","  387 ","","1267-ET","Globule DIX30","1520, ave des Lumières local 15,"," Brossard","23 octobre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Commerce","3279","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  910 ","","1315-ET","CPE Pierre-Boucher","1200 du Tremblay","Longueuil","24 octobre","7h-12h","","","","","","À FAIRE, LE CLIENT A DEMANDÉ LE SERVICE À L'ACHAT DE CES TAPIS","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Commerce","3279","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","16","  734 ","","1315-ET","CPE Pierre-Boucher","1450 Curé-Poirier E","Longueuil","24 octobre","7h-12h","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","3279","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  341 ","","1287-ET","Édifice à bureaux (Expos)","2265, Fernand-Lafontaine","Longueuil","24 octobre","12h-17h","","J4G 2R8","","","","","","","","","","","","","TRUE","FALSE","TRUE","gcote@prio.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3279","TRUE","","FALSE","TRUE","","FALSE","TRUE","TRUE","","  394 ","","0782-ET","Bernard et Brassard #300 *tape vert* ","2265, boul. Fernand-Lafontaine","Longueuil","24 octobre","12h-17h","","J4G 2R8","","NE PAS FACTURER LE CLIENT POUR LE PLANCHER DE BOIS ABÎMER","","La cliente demande à ce qu’il y ai toujours du tape vert où il y a le plancher de bois, puisque sinon ça enlève la pellicule de protection transparente sur le bois.","","Il est à noter que nous avons des tapis à retirer sur les 2 étages (3e et 4e) de nos bureaux et qu’il ne faudrait pas oublier cette année de retirer le tapis qui se trouve dans le vestiaire du 4e étage. - Geneviève PIcard 450-321-0257","FALSE","","1","1","","","TRUE","FALSE","TRUE","Gpicard@bernard-brassard.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Commerce","3279","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","12","  754 ","","1315-ET","CPE Pierre-Boucher","2070 rue Marie-Victorin","Longueuil","24 octobre","12h-17h","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","***2070 boulevard Marie victorin Longueuil pas fait car à l'agenda c'était 2070 rue Marie Victorien , Saint Bruno de Montar ville.. Je me suis rendu pour rien****","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Bureau","3279","TRUE","3132","FALSE","TRUE","3236","TRUE","","FALSE","20","  528 ","","1328-ET","KOTV","300, Place Charles-Lemoyne, bureau 200","Longueuil","24 octobre","12h-17h","","","","Au 1245 Bleury vous pouvez vous stationner dans la cour intérieure.","","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","imartin@kotv.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3279","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","20","  535 ","","1003-ET","Promenade du Parc","1920, rue Adoncour","Longueuil","24 octobre","7h-12h","","J4N 1T4","","André Bissonnette 450-649-0648 ou Denise Leroux 514-795-4064","","","Il manque un tapis d’hiver du côté sud de l’immeuble","Le stationnement est disponible en face des portes principales de l’immeuble","FALSE","","2","1","","","TRUE","FALSE","TRUE","lespromenadesduparc@laucandrique.net","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3279","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","350","","5877","1308-ET","Manuvie","900 de Maisonneuve O","Montréal","26 octobre","7h17h","",""," OK fait _ Agent de sécurité à pris des photos et envoyés au gestionnaire, je suis resté jusqu'à ce que le gestionnaire dise que c'est ok","Il a planifié l'entretien ménager ","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","sylvain.cote@jll.com","","J’ai utiliser 5pied de moulure après la première réparation je me suis servie du morceau que j’ai couper pour réparer les autre et il manquait une moulure devans l’asc h que j’ai rajouterJan : ****Manque ascenseur E . Selon Alex tapis pas à l'entrepôt . Est-ce que lorsque l'installation initial l'ascenseur était hors d'usage donc jamais été installé à neuf ? ****J’ai utiliser 5pied de moulure après la première réparation je me suis servie du morceau que j’ai couper pour réparer les autre et il manquait une moulure devans l’asc h que j’ai rajouter","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","1027","  20 972 ","  5 877 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3290","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","FALSE","85","  2 598 ","","1178-ET","6300 ave du Parc","6300 ave du Parc","Outremont","28 octobre","7h-12h","","","","Personne responsable sur place ou code d'accès  Lafleche Tougas 514-928.0577
Avons-nous accès à un stationnement  oui","","","","","","","","","","","TRUE","FALSE","TRUE","lbeaulieu@Alliedreit.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3290","TRUE","3136","FALSE","TRUE","3192","TRUE","TRUE","FALSE","250","  1 436 ","","0743-ET","Collège Stanislas","780, ave Dollard","Outremont","28 octobre","12h-17h","","H2V 3G5","","CONGÉS DU 21 AU 28 AVRIL - Le tapis de l'entrée McEachcran sera jeté par le collège Personne responsable : Nicholas Goodman 438-520-4328
Il y a un stationnement côté parc de la rue Van Horne, au bout des bâtiments.","","Tapis de l'entrée McEachran","* manque tapis entrée MC eachran, n'est pas sur les plans, je crois que c'est une nouvelle installation..","DERNIÈRE SEMAINE D'AVRIL IL N'Y A PAS D'ÉLÈVES","FALSE","","2","4","","","TRUE","FALSE","TRUE","sylvie.marie@stanislas.qc.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3290","TRUE","3132","FALSE","TRUE","3236","TRUE","","FALSE","","  1 923 ","","1189-ET","Musée Pointe-à-Callière","350, Place Royale","Montréal","29 octobre","17h-22h","","H2Y 3Y5","","Pas de nettoyage de tapis: Stationnement la rue de la commune livraison
Personne responsable Suleyman (demandez à la sécurité)","","","","Diminué PC pour retrait et nettoyage déja fait : tout l'éperon (sont roulés et numérotés) 1923pc originalement  Sur la rue de la Commune (place de livraison quoi de chargement, à côté de l’édifice L’éperon)","FALSE","","2","3","","","TRUE","FALSE","TRUE","Isabelle.Vermette@gdi.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","3290","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","6","  765 ","","1311-ET","Caserne place d'Youville","335 Place d'Youville","Montréal","29 octobre","17h-22h","","","","","","OUI - Peux-tu le faire en même temps que le musée ?","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","Sandra.Lopez@gdi.com; Francisco.Meneses@gdi.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","3290","TRUE","3187","FALSE","TRUE","3236","TRUE","TRUE","FALSE","70","  1 587 ","","1366-ET","Pôle Ste-Catherine","6080, Place des Cageux, Sainte-Catherine (rue Léo)","","30 octobre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","PatrickGuilbault@cloriacite.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3290","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","36","  3 418 ","","1274-ET","Allied - 1010 Sherbrooke Est","1010 Sherbrooke Est","Montréal","31 octobre","17h-22h","","H3A 2R7","","","","","Pas pu installer ascenseur 9 hors d'usage","","","","","","","","TRUE","FALSE","TRUE","bdurand@alliedreit.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3305","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","FALSE","","  814 ","","1294-ET","Les Cours d'Outremont","970, ave McEachran","Outremont","14 octobre","7h-12h","","","Selon l'administration Paul Hogue, il a demandé à ce que l'installation soit remise en Novembre car au sous-sol ils vont changer la céramique et l'ascenseur est hors service....RDC installé à 100% , nous devrons retourner en novembre pour installer tapis #11 (s-sol) et tapis ascenseur.","Code boit à clefs : 2029","","","PAYÉ","La personne qui peut vous donner les accès est Madame BOSSE (514) 824-6163.
Est-ce que tu peux le faire en même temps que Northcrest la semaine prochaine ? Annie Bonnard 514-564-2200","","","","","","","TRUE","FALSE","TRUE","Tour Deloitteafot","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Bureau","3305","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","300","  4 565 ","","1351-F","Édifice Le Windsor (RDC + SS)","1170, rue Peel","Montréal","2 novembre","12h-22h","","","","SVP communiquer avec la sécurité au 514-917-5139 à votre arrivéeDeux cases du stationnement intérieur seront mises à disposition pour la récupération des tapis.
Hauteur MAXIMALE 6’9’’","","","","","","","","","","","TRUE","FALSE","TRUE","roxanne.szabo@bgo.com","","","","","","","FALSE","","","","","","","","","","","","","","",""
"","3305","TRUE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  1 625 ","","1351-F","Édifice Le Windsor (étages)","1170, rue Peel","Montréal","2 novembre","12h-22h","","","","","","","","","FALSE","","","","","","TRUE","FALSE","TRUE","roxanne.szabo@bgo.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","3305","TRUE","3138","FALSE","TRUE","3236","TRUE","","FALSE","","  770 ","","1349-ET","Allied- Édifice 3510 St-Laurent","3510 boul. St-Laurent","Montréal","5 novembre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","lbeaulieu@alliedreit.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3305","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  917 ","","1348-ET","Allied - Édifice 3530 St-Laurent","3530 boul. St-Laurent","Montréal","5 novembre","12h-17h","","","Pas pu installer une partie du ss2 au 3530 obstrué , voir photo. Client avisé que ce sera en décembre","","","","","","","","","","","","TRUE","FALSE","TRUE","lbeaulieu@alliedreit.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3305","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","FALSE","70","  1 869 ","","1360-ET","Édifice 5445 de Gaspé","5445 de Gaspé, Montréal","Outremont","5 novembre","17h-22h","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","pbeauchamp@Alliedreit.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3305","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","FALSE","90","  1 902 ","","1361-ET","Édifice 5455 de Gaspé","5455 de Gaspé, Montréal","Outremont","5 novembre","17h-22h","","","Pas pu installer asc1 car hors d'usage","","","","","","","","","","","","TRUE","TRUE","TRUE","pbeauchamp@Alliedreit.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Résidences","3305","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","220","  2 335 ","","0955-ET","Résidence LE22","4400, rue Jean-Talon Est","Montréal","6 novembre","12h-17h","Nathalie","H1S 0C5","","Personne responsable : Nathalie GagnonStationnement : oui : 438-403-1760","","","Manque tapis #10, gros tapis beige sans nom à l'entrepôt. Attendre avant de planifier l'installation, le client va appeler solatech car nous n'allons peut-être pas installer..le tapis est très usé et nuis au personnel de la cuisine","Si camion pas trop gros, possibilité d’une place a l’intérieur sinon, devant la Résidence.  -  Michel Joncas 514-372-3838","FALSE","","","","","","TRUE","FALSE","TRUE","cse@residencele22.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3305","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  570 ","","1330-ET","Académie de Danse de Montréal","8265 Boul. Langelier","St-Léonard","6 novembre","12h-17h","","","","Melanie Hattem will be on location,Yes there is parking ","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","jeffdichter1@gmail.com","","**manque tapis #2 et #6 (était sur feuille mais pas dans rouleau. Voir photos. Tapis #5 trop court (devrait avoir deuxième morceaux mais pas sur plan . Manque environ 7 pieds. Tapis 2A j'ai laissé à l'entrepôt car mini tapis besoin du #2 pour installer ***  IL FAUT APPELER LE CLIENT AVANT DE PASSER PARCE QUE L'HORAIRE N'EST PAS FIXE.","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3305","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","21","  1 030 ","","1320-ET","WADA","800 du Square Victoria, 16e et 17e étages","Montréal","7 novembre","12h-17h","","","20 pieds linéaire de moulures utilisé","","","C'est confirmer avec le client par téléphone","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","Stephanie.Constantin@wada-ama.org","","plancher blanc a faire plus tôt dans la saison","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3305","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  1 036 ","","1304-ET","Clinique Quatuor MD - 27e étage","800 rue du Square Victoria","Montréal","7 novembre","12h-17h","","","Moulures inutilisables, ajout de 30 pieds Moulures neuves","Furna à la réception","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","thomasg@quatuormd.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3305","TRUE","3129","FALSE","TRUE","3192","TRUE","TRUE","FALSE","330","  13 745 ","1192","1312-ET","Place Victoria (tapis d'hiver)","800, rue du Square Victoria","Montré","","12h-22h","","","07 nov 17h-22h      08 nov 12h-22h","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","jtousignant@groupepetra.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3305","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","TRUE","459","  4 103 ","","1180-ET","Allied - Viger *tape vert* ","425, Viger Ouest","Montréal","9 novembre","12h-22h","","H2Y 3Y7","****moulures pleines de colle et sèches.  J'ai utilisé les parties encore utilisables pour installer aux endroits sécuritaires,  aucune moulures neuves utilisé ****","ajout laize centrale +918Pc ","","","Client veut soumission pour 6 tapis d'ascenseur et logo","","FALSE","","2","5","","","TRUE","TRUE","TRUE","jcampbell@alliedreit.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3305","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","35","  4 469 ","","1313-ET","Le Nordelec","1751, rue Richardson","","1 novembre","12h-22h","","","","***NE PAS ENLEVER LES TAPIS D'ASCENSEURS A-B ET F-G","","TOUTES LES TAPIS D'HIVER SUR PLACE","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","dmartos@alliedreit.com","","pas pu vérifier ascenseur D car hors service","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","1525","  39 750 ","1192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Édifice médical","3324","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  295 ","","1270-ET","Héma-Québec","7, boul. des Promenades","St-Bruno","11 novembre","12h-17h","","J3V 5J5","","","","NE PAS JETER LES TAPIS, ILS SONT NEUFS","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca",""," Les tapis de l'aile gauche pas installés cause rénovation ainsi que les ascenseur 1 et 2 - Nous avons laisser les tapis sur place + tape à la demande du concierge.- 5631pc pas bon feuille de pose neuf 5654+200pl moulures","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3324","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","","  4 300 ","","1103-ET","Agence Spaciale  Canadienne","6767. route de l'aéroport","Saint-Hubert","11 novembre","15h-22h","","J3Y 8Y9","","","","SOUMETTRE LE NOMS DES EMPLOYÉS QUI FERONT L'ENLÈVEMENT DES TAPIS UNE SEMAINE AVANT LA DATE","","","FALSE","","3","5","","","TRUE","FALSE","TRUE","Benoit.Hache@asc-csa.gc.ca;mathieu.gamache@asc-csa.gc.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3324","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","260","  1 193 ","","1264-ET","Héma-Québec","4300, rue Garand, Saint-Laurent","Montréal","12 novembre","12h-17h","","","Pas fait , le contact Éric Gervais n'a pas reçu le courriel pour date d'installation, il doit être avisé une semaine d'avance au moins","","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3324","TRUE","3138","FALSE","TRUE","","FALSE","FALSE","FALSE","200","  5 654 ","","1309-ET","upa longeuil ","555, boul. Rolan-Therrien","Longueuil","12 novembre","15h-22h","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","hcharbonneau@upa.qc.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3324","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","16","  895 ","","1243-ET","Allied Properties","755, rue Berri","Montréal","14 novembre","12h-17h","","H2Y 3Y7","","il faut rajouter le 268pc à l’adresse du 755 Berri  (nouvelle quantité 895pc)","","","","","FALSE","","","5","","","TRUE","FALSE","TRUE","dbai@alliedreit.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
