"  ","FAC/DEVIS _ ASP_Réinstallation  ","Réinstallation ","FAC/DEVIS _ ASP_retrait ","Rebut ","Retrait ","FAC/DEVIS _ ASP_nett+entreposage ","entreposage ","Nettoyer entrepôt "," Moulures  "," PC  "," Carreaux  "," # Projet "," Noms "," Adresse ","Ville ","BLEU : JOUR   GRIS : SOIR        DATE Réinstallation ","Heures ","Contact sur place ","Commentaires - Printemps 2025 ","Commentaires - Automne 2024 ","Commentaires - printemps 2024 ","Commentaires - Automne 2023 ","Commentaires - Printemps 2023 ","Code Postal ","Pickup fait ","pickup/ref ","Nbr gars ","H/ins  ","moulure  "," Moulure à changer  ","Courriel envoyé ","Confirmation ","Confirmation des dates de RDV ","Courriel ","","Commentaires - Automne  2024 ","Détail des tapis ","Fact # ","Nettoyer ","Payer  ","Sola Facture  ","Ajustement à faire ","Date prévue ","Fait ","","","","","","","","","","","",""
"Bureau","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","300","4 565 ","","10771-F","Édifice Le Windsor (RDC + SS)","1170, rue Peel","Montréal","avr. 17","18h-2ham ","","SVP communiquer avec la sécurité au 514-917-5139 à votre arrivéeDeux cases du stationnement intérieur seront mises à disposition pour la récupération des tapis.
Hauteur MAXIMALE 6’9’’","","","","","","","","","","","","TRUE","FALSE","TRUE","roxanne.szabo@bgo.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","FALSE","","FALSE","FALSE","","  1 625 ","","10771-F","Édifice Le Windsor (étages)","1170, rue Peel","Montréal","","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","","  669 ","","1245-ET","Héma-Québec","16 993 Transcanadienne ","Kirkland","avr. 18","14h-15h","","","","","","","H4R 2W7","FALSE","","","7","","","TRUE","FALSE","TRUE","JeanGauthier.Kouadjo@hema-quebec.qc.ca","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","50","1 403 ","","1356-ET","Maestria Tour A","1245, rue Bleury, Montréal","Montréal","avr. 19","14h30-16h30","","","","","","","","","","","","","","TRUE","FALSE","TRUE","antoine.portelance@solutioncondo.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","","TRUE","3136","FALSE","TRUE","3192","TRUE","TRUE","250","  1 436 ","","0743-ET","Collège Stanislas","780, ave Dollard","Outremont","","10h-13h","","CONGÉS DU 21 AU 28 AVRIL - Le tapis de l'entrée McEachcran sera jeté par le collège Personne responsable : Nicholas Goodman 438-520-4328
Il y a un stationnement côté parc de la rue Van Horne, au bout des bâtiments.","","Tapis de l'entrée McEachran","* manque tapis entrée MC eachran, n'est pas sur les plans, je crois que c'est une nouvelle installation..","DERNIÈRE SEMAINE D'AVRIL IL N'Y A PAS D'ÉLÈVES","H2V 3G5","FALSE","","2","4","","","TRUE","FALSE","TRUE","sylvie.marie@stanislas.qc.ca","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3136","FALSE","TRUE","3192","TRUE","TRUE","65","  962 ","","1234-ET","SDC du Boisé de la Colline","24, rue Bates","Outremont","","13h30-14h30","","Choucri Craissati 514-236-5515: stationnement OUI","","This is not good service.","surcharge 3 h installation (comme neuf) Installation presque neuf le gars il a modifié toute l’entrée et la mezzanine (toutes les tapis j’ai les modifier avec les changements ça me pris 6.30h seul )   COUPER DES TAPIS SUITE AUX RÉNOVATIONS (DOMINIC)","Nous allons rénover notre Hall d’entrée à partir du 13 mars 2023. Est-ce que vous pouvez venir au plus tard le 10 mars pour retirer les tapis et les entreposer ?","H2V 1A8","FALSE","","","10","","","TRUE","FALSE","TRUE","conseilbdc@gmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3136","FALSE","TRUE","3192","TRUE","TRUE","","  2 095 ","","0812-ET","LE Sanctuaire,  phase 4","6111, du Boisé","Outremont","","15h-17h","","","","","","stationnement pour les entrepreneurs/visiteurs : Aimerait à la mi-avril soit un mercredi ou un jeudi.","H3S 1P1","FALSE","","2","3","","","TRUE","FALSE","TRUE","6111duboise@hotmail.ca","","18 oct Jan : J'ai nettoyé 3 petites taches évidentes avec du liquagel..l'état du reste des tapis ""acceptables "" mise à part quelques gommes . ","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3136","FALSE","TRUE","3192","TRUE","TRUE","","  1 325 ","","1061-ET","6000 Deacon","6000 ch. Deacon","Outremont","","17h-18h30","","","","","Manque moulure ascenseur x 7","","H3S 2T9","","","","","","","TRUE","FALSE","TRUE","info@6000deacon.ca","","L’ascenseur I-J-K n’a pas pu être installé à cause qu’il était hors service.","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","  46 066 ","","","2/4","","","","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3132","FALSE","TRUE","3235","TRUE","TRUE","","12419","","1273-ET","Complexe Guy Favreau","200, René-Levesque O","Montréal","","10h-22h","","***tapis asc2 tour west absent ainsi que les 2 ascenseurs pour stationnement ***","","","6 déc : 1er déc : 4,5 bte moulures Étages 12,11 et 9 - 5 b moulures  / 30 nov : 4.5 boîtes de moulures. Étages, 4 , 5,6 et moulures d'étage 2 et 3  /29 nov : tour Est étages 2 et 3 MANQUE MOULURES CONTOUR / 15 nov : Tour ouest 5 étages de fait / Tous les ascenseurs sont fait sauf #1 tour EST , elle est en panne, reste 4 étages à faire.  Reste tour est à faire / 5 boîtes de moulures / 13 nov : 4h – 2 per – 8 tapes RDC 1+2   ***cube ***","Pc a été changer dû au reno , le total + Aussi calculé le PC des tapis ajouté au RDC 2 Tour","H2Z 1X4","FALSE","","","","","","TRUE","FALSE","TRUE","Angela Potvin angela.potvin@bgis.com
Simon Beauregard simon.beauregard@bgis.com
Vanessa Salicco (gestionnaire) vanessa.salicco@bgis.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","15","1 023 ","","1357-ET","Le Maestria Tour B","1210, rue Jeanne-Mance, Montréal","Montréal","avr. 19","13h-14h30","","Au 1210, vous pouvez vous stationner en face s’il y a de la place ou au débarcadère à l’arrière. Juste demandé au portier de vous guider.","","","","","","","","","","","","TRUE","FALSE","TRUE","antoine.portelance@solutioncondo.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Condo","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","","  183 ","","1358-ET","Copropriété 4647 Coloniale","4647 rue Coloniale","Montréal","","13h30-14h30","","Il faut sonner au numéro 204 qui vous ouvrira. (adresse de l'immeuble 4647 av coloniale, Montreal, H2t1W1)
Nous n’avons pas de stationnement, c’est dans la rue directement.","","","","","","","","","","","","TRUE","FALSE","TRUE","copro4647coloniale@gmail.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","50","885 ","","1359-ET","CLSC Outremont","1271, rue Van Horne","Outremont","","13h30-14h30","","Catherine Durand à la réception de la clinique.
Le code des portes est  1-3-4","","","","","","","","","","","","FALSE","FALSE","TRUE","huguette.stpierre.dlm@ssss.gouv.qc.ca","","Entre 9h et 17h","","","","","","","","","","","","","","","","","","","",""
"","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","","604 ","","1177-ET","4396 St-Laurent","4396, boul. St-Laurent, Montréal","","","17h-18h","","","","","","","","","","","","","","FALSE","FALSE","TRUE","lbeaulieu@Alliedreit.com","","","","","","","","","","","","","","","","","","","","","",""
"Résidences","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","121","  1 836 ","","1324-ET","Quartier Mont Saint-Hilaire","330, Honorious-Charbonneau","St-Hilaire","avr. 26","10h-12hn","","Prendre une photo du tapis qui gondole dans le corridor qui mêne aux bureaux administratifs","","Ascenseur 3 pas enlevé travaux en cours","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","dg@lequartiermontsainthilaire.com","","tapis 9, 10 , 11 et asc2 installés suite aux rénovations d'automne. Asc1 pas installé car toujours pas réparé depuis septembre. Les tapis et moulures étaient entreposés sur place, les moulures n'étaient plus là (moulures brunes) . Tapis asc1 laissé sur place pour que le concierge installe lui-même (dans local à déchets au ss)","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","50","  600 ","","0969-ET","Les Pignons sur le Fleuve","8065, rue St-Laurent","Brossard","avr. 26","12h-13h","","","","","","Nos tapis d'hiver ont été enlevés aujourd'hui. Ils seront à remplacer à l'automne 2023 sauf celui de l'ascenseur qui est plus récent.    Le camion pourra se stationner devant la porte centrale le long du trottoir.","J4X 2A1","FALSE","","2","1","","","TRUE","FALSE","TRUE","administration2@immoplex.com;yvanjulien@sympatico.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","20","  535 ","","1003-ET","Promenade du Parc","1920, rue Adoncour","Longueuil","avr. 26","13h30-14h30","","André Bissonnette 450-649-0648 ou Denise Leroux 514-795-4064","","","Il manque un tapis d’hiver du côté sud de l’immeuble","Le stationnement est disponible en face des portes principales de l’immeuble","J4N 1T4","FALSE","","2","1","","","TRUE","FALSE","TRUE","lespromenadesduparc@laucandrique.net","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","","  4 300 ","","1103-ET","Agence Spaciale  Canadienne","6767. route de l'aéroport","Saint-Hubert","avr. 26","15h-22h","","","","SOUMETTRE LE NOMS DES EMPLOYÉS QUI FERONT L'ENLÈVEMENT DES TAPIS UNE SEMAINE AVANT LA DATE","","","J3Y 8Y9","FALSE","","3","5","","","TRUE","FALSE","TRUE","Benoit.Hache@asc-csa.gc.ca;mathieu.gamache@asc-csa.gc.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","120","11 857 ","","1347-ET","Edifice SunLife (RDC)","1155, rue Metcalfe, Montréal","Montréal","","18h-2ham","","NETTOYAGE ET ENTREPOSAGE DU RDC SEULEMENT","","","","","","","","","","","","TRUE","FALSE","TRUE","lucie.richard@bgo.com","","","","","","","","","","","","","","","","","","","","","",""
"","","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","85","2 598 ","","1178-ET","6300 ave du Parc","6300 ave du Parc","Outremont","avr. 28","14h-17h","","Personne responsable sur place ou code d'accès  Lafleche Tougas 514-928.0577
Avons-nous accès à un stationnement  oui","","","","","","","","","","","","FALSE","FALSE","TRUE","lbeaulieu@Alliedreit.com","","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","","  918 ","","1175-ET","Allied - Atlantic","400, rue Atlantic","Outremont","avr. 28","17h30-18h30","","Personne responsable sur place ou code d'accès   INTERCOM :  la touche no 2---- Luis Tampan 514-206.7118
Avons-nous accès à un stationnement  non",""," Tapis à jeter "," Tapis du café laissés sur place, il n'y a plus de restaurant. "," 918 ou 1601 ","H2V 1A5","FALSE","","2","1","","","TRUE","FALSE","TRUE","lbeaulieu@alliedreit.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","70","1 869 ","","1360-ET","Édifice 5445 de Gaspé","5445 de Gaspé, Montréal","Outremont","avr. 28","19h-21h30","","","","","","","","","","","","","","FALSE","FALSE","TRUE","jmonteiro@Alliedreit.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","90","1 902 ","","1361-ET","Édifice 5455 de Gaspé","5455 de Gaspé, Montréal","Outremont","avr. 28","21h30-24h","","","","","","","","","","","","","","FALSE","FALSE","TRUE","jmonteiro@Alliedreit.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","75","387 ","","1267-ET","Globule DIX30","1520, ave des Lumières local 15,"," Brossard","avr. 25","13h-14h","","","","","","","","","","","","","","TRUE","FALSE","FALSE","","","","","","","","FALSE","","","","","","","","","","","","","","",""
"","","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","16","190 ","","1268-ET","Héma-Québec","7, place du Commerce"," Brossard","avr. 25","14h30-15h30","","","","","","","","","","","","","","TRUE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","","",""
"Condo","","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","","  814 ","","1294-ET","Les Cours d'Outremont","970, ave McEachran","Outremont","avr. 29","16h-17h","","Code boit à clefs : 2029","","","PAYÉ","La personne qui peut vous donner les accès est Madame BOSSE (514) 824-6163.
Est-ce que tu peux le faire en même temps que Northcrest la semaine prochaine ? Annie Bonnard 514-564-2200","","","","","","","","TRUE","FALSE","TRUE","lescoursoutremont@in.condoweb.app;afotsing@sergicquebec.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","100","  4 626 ","","1306-ET","SDC 6150 du Boisé","6150 du Boisé","Outremont","avr. 29","13h-17h","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","TRUE","6150duboise@bellnet.ca","","FACTURE 4626pc +100pl moulures     même si 4410pc","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","  47 546 ","","","3/4","","","","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","37","  898 ","","1323-ET","Bibliothèque Maisonneuve","4120, Ontario Est","Montréal-Est ","1 mai","9h-10h","","jour et heure exacte  a venir  (Lundi, jeudi et vendredi ouvre a midi - mardi et mercredi à 10h00)","","À FAIRE EN AVANT-MIDI LA BIBLIOTHÈQUE OUVRE À 12H","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","marie-eve.leprohon@montreal.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Bureau","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","","  314 ","","1282-ET","Transition Centre-Sud","1819, boul. Rosemont","Montréal-Est ","1 mai","10h30-11h30","","jour et heure exacte  a venir ","","JE NE PEUX PAS ROMPRE LE SERVICE D'ENTRETIEN PARCE  CE CLIENT","","","H2G 1S5","","","","","","","TRUE","FALSE","TRUE","jdeslauriers@transitioncentresud.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","","  420 ","","1197-ET","CPE Coeur de l'Île","2830, rue Gilford","Montréal","1 mai","12h-13h","","","","","","LAISSEZ LE TAPIS DE L'ENTRÉE PRINCIPALE SUR PLACE ***PRENDRE LES MESURES POUR  L'AJOUT D'UN TAPIS À LA POUPONIIÈRE ET L'ENTRÉE EXT. ARRIÈRE.  À faire pour l'automne prochain","H1Y 3N2","FALSE","","2","1","","","TRUE","TRUE","TRUE","craymond@cpeile.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","","  778 ","","1263-ET","TAK phase 1","4820, 4e Avenue","Montréal","1 mai","13h-14h",""," la personne sur place sera Manuel que vous pourrez contacter au : 514 546 9643
Ou récupérer les clés situées dans la boite à clés à l’entrée de l’immeuble : code 2308","","","","et tak 1 950 Pc ???? Courriel Guylaine 8 mai 23 : 778pc","H1Y 2T8","FALSE","","","6","","","TRUE","TRUE","TRUE","quentin.plachta@solutioncondo.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","","  526 ","","1247-ET","TAK Phase 6 ","4801, 2e avenue","Montréal","1 mai","14h-15h","","","","","","","","FALSE","","","","","","TRUE","TRUE","TRUE","quentin.plachta@solutioncondo.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","16","111 ","","1265-ET","Globule Place Vessailles","7275, rue Sherbrooke Est, Montréal","Montréal-Est ","mai 2","7h-8h","","jour et heure exacte  a venir ","","","","","","","","","","","","TRUE","FALSE","TRUE","juliench06@gmail.com","","","","","","","","","","","","","","","","","","","","","",""
"Résidences","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","","  1 628 ","","1184-ET","Le Savignon","3111, rue Victoria","Lachine","2 mai","11h30-13h","","","","","5 oct 23 : Seul les sorties d'urgence ont pu être installés car le plancher était plein de savon et il y a avait un évènement à la réception. Tapis laissés au garage intérieur _ Prévoir moulures il en manque beaucoup _ Manque tapis ascenseur 1,3,5 _ Tapis #11 (devant les ascenseur) non installés car la directrice générale à vu une grosse tache ronde, je lui ai montré que c'est de l'usure.","Philippe Croteau 514-634-4646","H8S 0B1","FALSE","","","","","","TRUE","FALSE","TRUE","c@lesavignon.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","220","  2 335 ","","0955-ET","Résidence LE22","4400, rue Jean-Talon Est","Montréal","2 mai","13h30-16h","Nathalie","Personne responsable : Nathalie GagnonStationnement : oui : 438-403-1760","","","Manque tapis #10, gros tapis beige sans nom à l'entrepôt. Attendre avant de planifier l'installation, le client va appeler solatech car nous n'allons peut-être pas installer..le tapis est très usé et nuis au personnel de la cuisine","Si camion pas trop gros, possibilité d’une place a l’intérieur sinon, devant la Résidence.  -  Michel Joncas 514-372-3838","H1S 0C5","FALSE","","","","","","TRUE","FALSE","TRUE","cse@residencele22.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","","  460 ","","1290-ET","Coop Montagne verte ","1285, St-Jacques","Montreal","avr. 17","15h30-16h30","","","","Ils ont oublié ceux du Sous-sol a la sortie des ascenseurs près du garage","","","","","","","","","","TRUE","FALSE","FALSE","entretien@coopmontagneverte.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","","  917 ","","1348-ET","Allied - Édifice 3530 St-Laurent","3530 boul. St-Laurent","Montréal","avr. 23","15h30-16h30","","","","","","","","","","","","","","FALSE","FALSE","TRUE","lbeaulieu@alliedreit.com","","","","","","","","","","","","","","","","","","","","","",""
"Édifice médical","","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","57","  1 077 ","","1239-ET","CHSLD Dr. Chevrier","700, rue Docteur Chevrier","Saint-Lambert","avr. 25","16h-17h30","","À la demande du nouveau responsable Bruno forget, les tapis escaliers A et B laissés sur place et ne feront plus partie du contrat. Total 60 pieds carré en moins","","","","Si vous venez tôt plus facile de trouver un stationnement.","","FALSE","","","","","","TRUE","FALSE","TRUE","maintenancechsldstlambert@ls4.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","20","  420 ","","","Banque Financière Montréal","1155, rue Metcalfe","Montréal","","","","","","","","","","FALSE","","","","","","FALSE","FALSE","TRUE","lucie.richard@bgo.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","","  1 315 ","","1165-ET","Northcrest - SDC6301 (tapis pluie?)","6301 rue Northcrest","Outremont","6 mai","10h30-12h","","","","Tapis permanent à changer courriel envoyé 11 avril   Installer les tapis de pluie","Ascenseur LM pas installé, hors fonction tapis laisser sur place  FAIT","entretien@syndicatnorthcrest.ca     Paul 514-773-4660","H3S 2W3","FALSE","","2","2","","","TRUE","FALSE","TRUE","gestionnaire@syndicatnorthcrest.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","","  759 ","","1166-ET","Northcrest - SDC6300 (tapis pluie?)","6300 rue Northcrest","Outremont","6 mai","12h-13h","","","","Tapis permanent à changer courriel envoyé 11 avril","","entretien@syndicatnorthcrest.ca     Paul 514-773-4660","H3S 2W3","FALSE","","2","1","","","TRUE","FALSE","TRUE","gestionnaire@syndicatnorthcrest.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","10","  755 ","","1276-ET","SDC 1800 Angrignon","1800 Angrignon","Montréal","6 mai","16h-17h","","514 922 6174. appeler Michel pour le code","","","","Vous pouvez avoir accès à un stationnement extérieur","H8N 0B8","","","","","","","TRUE","FALSE","TRUE","minacio@immoplex.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","35","606 ","","1342-ET","SDC Condo Rêve","4975 rue Jean-Talon Ouest","Outremont","mai 8","10h-11h","","Luc Vincelette : (438) 778-7076","","","","","","","","","","","","TRUE","FALSE","TRUE","kpatry@sergicquebec.ca;fernandes@sergicquebec.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","260","1 193 ","","1264-ET","Héma-Québec","4300, rue Garand, Saint-Laurent","Montréal","mai 8","11h30-12h30","","","","","","","","","","","","","","TRUE","FALSE","TRUE","JeanGauthier.Kouadjo@hema-quebec.qc.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","257","1 941 ","","1297-ET","Les verrières du Golf","2400, rue des Nations, Saint-Laurent","Montréal","mai 8","15h-17h","","","","","","","","","","","","","","TRUE","FALSE","TRUE","cse@lesverrieresdugolf.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","42","  538 ","","1138-ET","Carmichael","3822, ave de Courtrai","Outremont","mai 8","8h30-9h30","","APRÈS LE 1ER AVRIL ET NE PAS FAIRE LES VENDREDIS","","If there is no choice we will take the 13th of May but not happily. We had originally requested that they be removed mid April every year.","A la demande du client nous avons remplacé les moulures","FAire attention à la réinstallation ces moulures sont bombées.","H3S 1C1","FALSE","","2","2","","","TRUE","FALSE","TRUE","bfahey@carmichael-eng.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","40","230 ","","1266-ET","Globule Centre Laval","1600, boul. le Corbusier","Laval","mai 9","11h-12h","","","","","","","","","","","","","","TRUE","FALSE","TRUE","juliench06@gmail.com","","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","34","  1 263 ","","1233-ET","Sunwing","3105 Place Louis R-Renaud","Laval","mai 9","12h30-13h30","","","","Ajout entrée arrière 360,8 + 903","Manque 4 tapis  = fait","","H7V 0A3","FALSE","","","8","","","TRUE","TRUE","TRUE","juliench06@gmail.com","","ajout déc 2023 - entrée arrière 360pc (360+903)","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","","  849 ","","1232-ET","Vacances Sunwing","3105 Place Louis R-Renaud","Laval","mai 9","13h30-14h30","","","","","","","H7V 0A3","FALSE","","","8","","","TRUE","TRUE","TRUE","juliench06@gmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","","  1 385 ","","1229-ET","Le Boréa","61 54e avenue Est","Blainville","mai 9","15h-16h30","","","","","Manque tapis ascenseur - Fait","André Laplante 450-508-8073","","FALSE","","","","","","TRUE","TRUE","TRUE","cse@residenceborea.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Commerce","","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","","  957 ","","1333-ET +1332-ET","West Spa (+pas mettre sur facture Salon Augustin - ) - Salon Augustin","4655 Boul St-Jean, suite 202","Montréal","12 mai","8h30-9h30","","","","A FAIRE   ADRESSE COURRIEL À VÉRIFIER","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","nemco@bell.net","","L’ascenseur n’a pas pu être installé étant donné qu’il était hors service.","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","","  584 ","","0909-ET","SFM","325, boul. Bouchard","Dorval","mai 12","10h-11h","","Changement de dates , prevu le 18 avril mais fermé pour paques ","","","Manque tapis de garde robe #9 et #10 ","Je suis la personne responsable sur place, mais la réceptionniste (Tina Limosani) sera en mesure de répondre à vos question s’il y a lieu. Une carte d’accès n’est pas requise, la réceptionniste vous laissera entrer.","H9S 1A9","FALSE","","2","2","","","TRUE","FALSE","TRUE","steve.colpron@sfm.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","36","1 260 ","","1362-ET","Cloria Beloeil","400, rue Serge Pépin"," Beloeil","mai 13","7h-9h","","C'est parfait pour le 13 à 13h00, louis sera sur place pour vous accueillir, 438-498-7024, vous pourrez aussi au besoin, communiquez avec Philippe au 514-250-5456. _ PS SVP ne pas retiré le tapis du hall d'entré,(entre les deux portes) nous tenons à le conservé, vous pourrez discuté des formalités avec Philippe.","","","","","","","","","","","","FALSE","FALSE","TRUE","normandstdenis@cloriacite.ca","","","","","","","FALSE","","","","","","","","","","","","","","",""
"Édifice","","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","","2 689 ","","1355-ET"," Centre culturel NDG","6400 ave Monkland","Montréal","mai 14","9h30-12h30","","A FAIRE","","","","","","","","","","","","TRUE","TRUE","TRUE","irinel-maria.stingaciu@montreal.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","","  1 597 ","","1350-ET","Orchard House","4176, boulevard Grand Montréal","Montréal","mai 14","7h-9h","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Résidences","","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","","  1 520 ","","0979-ET","Le Seva","300, rue de Sarcelle","Candiac","mai 14","7h-8h30","","","","","","Vous pourrez vous stationner sur le côté de la résidence, sur la rue Sarcelle près du IGA. On installera des cônes pour vous faciliter l’accès.","J5R 0S9","FALSE","","2","2","","","TRUE","TRUE","TRUE","cse@residenceseva.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
